name_english;name_arabic;reference;y;x;description_english;priority;
Achaia;أَخَائِيَةَ;Acts 18: 12;;;مقطاعة وعصمتها كورنثوس;;
Amphipolis;أَمْفِيبُولِيسَ;Acts 17: 1;40.82308186;23.83895684;;;
Antioch;أَنْطَاكِيَةَ;Acts 11: 19;36.20219248;36.16204467;;;
Antioch in Pisidia;أَنْطَاكِيَةِ بِيسِيدِيَّةَ;Acts 13: 14;38.3081767;31.1993073;38.308176697219544, 31.199307308741698;;
Antipatris;أَنْتِيبَاتْرِيسَ;Acts 23: 31;32.10042891;34.94653045;;;
Apollonia;أَبُولُونِيَّةَ;Acts 17: 1;40.587633;23.35356657;;;
Appii Forum;فُورُنِ أَبِّيُوسَ;Acts 28:  15;41.46529336;12.9980672;41.465293360815785, 12.99806728626431;;
Asia;أَسِيَّا;Acts 2: 10;;;تركيا;;
Assos;أَسُّوسَ;Acts 20: 13;39.49729259;26.336516;39.497292592873166, 26.336516042851972;;
Athens;أَثِينَا;Acts 17: 15;37.98332454;23.73326862;;;
Azotus;أَشْدُودَ;Acts 8: 40;31.70063794;34.93618846;;;
Berea;بِيرِيَّةَ;Acts 17: 10;40.51669948;22.20000244;;;
Bithynia & Pontus;بِثِينِيَّةَ وبُنْتُسَ;Acts 16: 7  Acts 2: 9;40.92692522;31.44960609;40.92692522970666, 31.44960609231353;;اقليم
Caesarea;قَيْصَرِيَّةَ;Acts 8: 40;32.49954312;34.89218628;;;
Cappadocia;كَبَّدُوكِيَّةَ;Acts 2: 9;40.19527777;37.0950544;40.195277777476996, 37.09505441581295;;اقليم
Cenchrea;كَنْخَرِيَا;Acts 18: 18;37.88447866;22.99336405;;;
Chios;خِيُوسَ;Acts 20: 15;38.45266;26.0998004;38.4526600803723, 26.09980042187721;;
Cilicia;كِيلِيكِيَّةَ;Acts 15: 23;37.18946304;35.68674503;37.18946304041245, 35.68674503619793;;اقليم
Clauda;كَلَوْدِي;Acts 27:  16;34.84495726;24.0745395;34.84495726638937, 24.07453952199072;;
Cnidus;كِنِيدُسَ;Acts 27:  7;36.68647579;27.37483982;36.686475790879236, 27.374839829728163;;
Corinth;كُورِنْثُوسَ;Acts 18: 1;37.90595717;22.87788571;;;
Cos;كُوسَ;Acts 21: 1;36.89387845;27.27960815;36.89387845269754, 27.27960815001676;;
Crete;كِرِيتَ;Acts 27:  7;35.21082202;25.0136777;35.21082202456973, 25.013677741148502;;
Cyprus;قُبْرُسَ;Acts 11: 19;35.07606703;33.12158795;35.076067035310544, 33.12158795910299;;
Cyrene;ٱلْقَيْرَوَانِ;Acts 2: 10;32.82497345;21.85829307;;;
Damascus;دِمَشْقَ;Acts 9: 2;33.51911214;36.31319572;;;
Derbe;دَرْبَةَ;Acts 14: 6;37.27426054;33.26977082;37.27426053770811, 33.26977082090178;;
Ephesus;أَفَسُسَ;Acts 18: 19;37.95249967;27.36785929;;;
Ethiopians;ٱلْحَبَشَةِ;Acts 8: 27;12.63315983;39.95190075;12.633159830943981, 39.95190075292997;;مملكد
Galatia;غَلَاطِيَّةَ;Acts 16: 6;39.91462693;32.86297317;39.914626932978166, 32.862973173932836;;اقليم
Gaza;غَزَّةَ;Acts 8: 26;31.5247778;34.43335179;;;
Greece;هَلَّاسَ;Acts 20: 2;;;بلاد اليونان;;
Iconium;إِيقُونِيَةَ;Acts 13: 51;37.88351977;32.49462551;;;
Italy;إِيطَالِيَةَ;Acts 18: 2;;;;;
Jerusalem;أُورُشَلِيمَ;Acts 1: 4;31.77744415;35.23494171;;;
Joppa;يَافَا;Acts 9: 36;32.05351972;34.75043306;;;
Lasea;لَسَائِيَةَ;Acts 27:  8;34.98924055;25.06519534;34.98924055056812, 25.065195342335276;;
Lydda;لُدَّةَ;Acts 9: 32;31.9510982;34.88698493;31.951098202642314, 34.886984930821804;;
Lystra;لِسْتِرَةَ;Acts 14: 6;37.57813385;32.45320337;;;
Macedonia;مَكِدُونِيَّةَ;Acts 16: 9;;;اقليم اليونان;;
Malta;مَلِيطَةَ;Acts 28:  1;35.88425432;14.42983739;35.88425432457615, 14.42983738614866;;
Miletus;مِيلِيتُسَ;Acts 20: 15;37.62485466;27.39155018;37.62485465680862, 27.39155017922243;;
Mitylene;مِيتِيلِينِي;Acts 20: 14;39.10017034;26.551779;;;
Myra, a city of Lycia.;مِيرَا لِيكِيَّةَ;Acts 27:  5;;;36.24275178241963, 29.98631100998989;;
Mysia;مِيسِيَّا;Acts 16: 7;40.25625135;27.15959517;40.2562513516122, 27.15959517175938;;
Neapolis;نِيَابُولِيسَ;Acts 16: 11;40.94413378;24.41771977;;;
Pamphylia;بَمْفِيلِيَّةَ;Acts 2: 10;36.89345217;31.51993254;36.89345217178637, 31.519932548331877;;
Paphos;بَافُوسَ;Acts 13: 6;34.78663067;32.4341172;34.78663067515345, 32.434117251266876;;
Patara;بَاتَرَا;Acts 21: 1;36.27473118;29.31875667;;;
Perga in Pamphylia;بَرْجَةِ بَمْفِيلِيَّةَ;Acts 13: 13;36.9548785;30.84957509;36.95487850381698, 30.849575090203928;;
Philippi;فِيلِبِّي;Acts 16: 12;41.01197065;24.28626435;;;
Phoenicia;فِينِيقِيَةَ;Acts 11: 19;;;لبنان;;
Phoenix;فِينِكْسَ;Acts 27:  12;35.25548133;24.0181389;35.255481328565786, 24.018138931706;;
Phrygia;فِرِيجِيَّةَ;Acts 16: 6;38.36236788;31.2280901;38.362367888310295, 31.228090102469434;;
Pisidia;بِيسِيدِيَّةَ;Acts 14: 24;37.44311121;30.6017104;37.44311121714982, 30.601710405397615;;
Ptolemais;بُتُولِمَايِسَ;Acts 21: 7;32.92754904;35.08172092;;;
Puteoli;بُوطِيُولِي;Acts 28:  13;40.84227217;14.25897151;;;
Rhegium;رِيغِيُونَ;Acts 28:  13;38.11020595;15.66281597;38.110205959746516, 15.662815979684368;;
Rhodes;رُودُسَ;Acts 21: 1;36.39599036;28.13081324;36.39599036294268, 28.130813246004355;;
Rome;رُومِيَةَ;Acts 18: 2;41.8982112;12.483333;;;
Salamis;سَلَامِيسَ;Acts 13: 5;35.17584287;33.90549206;;;
Samaria;ٱلسَّامِرَةِ;Acts 2: 9;;;;;
Samos;سَامُوسَ;Acts 20: 15;37.74251036;26.97572985;37.742510362578926, 26.975729858927508;;
Samothrace;سَامُوثْرَاكِي;Acts 16: 11;40.47894576;25.56230837;40.47894576327916, 25.562308376903683;;
Seleucia;سَلُوكِيَةَ;Acts 13: 4;36.1173214;35.9319102;36.11732140440805, 35.93191020247621;;
Sharon;سَارُونَ;Acts 9: 35;32.72592367;35.4678574;32.7259236713647, 35.46785742030221;;
Syracuse;سِرَاكُوسَا;Acts 28:  12;37.08694956;15.2805087;37.08694956764724, 15.280508754647828;;
Syria;سُورِيَّةَ;Acts 15: 23;;;;;
Tarsus;طَرْسُوسَ;Acts 9: 30;36.91720354;34.89222064;;;
Thessalonica;تَسَالُونِيكِي;Acts 17: 1;40.63554305;22.93689351;;;
Thyatira;ثَيَاتِيرَا;Acts 16: 14;38.9255239;27.85930258;;;
Troas;تَرُوَاسَ;Acts 16: 8;39.50531853;26.08196629;;;
Trogyllium;تُرُوجِيلِيُّونَ;Acts 20: 15;37.44474052;27.32165321;37.44474052329794, 27.321653211618145;;
Tyre;صُورَ;Acts 21: 3;33.27037423;35.20287468;;;