name_english;x;y;priority
Abdon;35.17525958;33.04482507;12
Abel-Meholal;35.54664;32.36783;12
Acco;35.08226;32.92718;12
Achshaph;35.17352659;32.95164094;12
Achzib;35.10717;33.03946;12
adadah (aroer);34.96786;31.17061;12
Adam;35.56469936;32.09771155;12
Adullam 		;35.06555;31.63904;12
Ahlab;35.25684;33.31467;12
Ai 		;35.2659;31.9141;12
Aijalon;35.0253481;31.84116974;12
Anab;34.94538662;31.4035949;12
Anathoth;35.26367066;31.81294946;12
Aphek 		;34.93515;32.10181;12
ARAD 		;35.803;1.4846;12
Arumah;35.32018;32.1592;12
Ashan;34.79534;31.28756;12
Ashdod 		;34.63505062;31.80297264;12
Ashkelon 		;34.54719801;31.6623669;12
Ashtaroth 		;36.0166;32.8333;12
Asor;34.789;32.04272;12
Ataroth;36.01726781;32.83354935;12
Azekah;34.93618846;31.70063794;12
Baal Gad;35.8573311;33.41616;12
Baal-Shalishah;35.03153;32.14064;12
Baalaath ;34.77406;31.83287;12
Baalgad;35.8573311;33.41616;12
Beer;35.49606;32.60008;12
Beer-sheba 		;34.8409;31.24493;12
Beeroth;35.18302;31.8499;12
Beth Anath;35.1244854;31.55845697;12
Beth-Baal-meon (Beon) 		;35.7285;31.68195;12
Beth-dagon 		;34.8175;32.0002;12
Beth-haggan (En-gannim) 		;35.295083;32.471055;12
Beth-jeshimoth  		;35.5848;31.7694;12
Beth-nimrah 		;35.62569;31.9008;12
Beth-rehob;35.68729;33.23691;12
Beth-Rehop;35.6897;33.23519;12
Beth-shean 		;35.50307;32.5042;12
Beth-shemesh 		;34.97665082;31.75271967;12
Beth-Zur;35.09325;31.60319;12
Bethlehem (Ephatha) 		;35.2102;31.7053;12
Bethlehem (Ephatha) 		;35.2102;31.7053;12
Bethul (Bethuel);34.87629;31.33447;12
Betonim;35.70146;31.99781;12
Bezek;35.40558;32.37902;12
Bezer;35.8858;31.792;12
Cabul;35.21168525;32.86564297;12
Chinnereth;35.53935;32.86922;12
Coshen;34.97343;31.42562;12
Damascus 		;35.01587;31.4251;12
Debir 		;35.015;31.4258;12
Dibon 		;35.764;31.508;12
Edrei 		;36.099;32.6241;12
Eglon;34.766695;31.49999827;12
Ekron 		;34.8426;31.785;12
Elam;35.18115;31.69385;12
En-gedi;35.39031;31.48634;12
Eshtemoa;35.0908;31.40914;12
Gath 		;34.84353967;31.6933109;12
Gath- Rimmon;34.81427;32.09342;12
Gaza 		;34.4333;31.5246;12
Gerar 		;31.38014308;34.67135994;12
Gezer 		;34.92455993;31.87567367;12
Gibbothon;35.02156;31.86639;12
Gibeah;35.22853;31.83127;12
Gibeon 		;35.1884;31.8514;12
Gilgal 		;35.4446;31.8897;12
Giloh;35.08230303;31.61608226;12
Giloh;35.08230303;31.61608226;12
Golan	;35.9178;32.776;12
Hammath;35.1647425;33.12557641;12
Hazar-shual;34.85858;31.24019;12
Hazor;35.56808923;33.01717022;12
Hazor 		;35.568;33.0171;12
Hebron (Kiriath-araba) 		;35.094;31.5357;12
Hepher;34.88329986;32.3666813;12
Hepher;34.88329986;32.3666813;12
Heshbon 		;35.809;31.8003;12
Horma;34.85909;31.24149;12
Ibleam;35.28334458;32.44999781;12
Jabeshgilead;35.61159902;32.3798175;12
Jabneel;34.74691694;31.86553185;12
Jarmuth;34.96993676;31.70924735;12
Jattir;35.06938498;31.40143196;12
Jericho;35.44387064;31.8706014;12
Jerusalem (Salem, Jebus) 		;35.2349;31.7774;12
Jezreel;35.32337;32.56366;12
Jezreel;35.0392;31.49068;12
Jogbehah;35.8755;32.0254;12
Jokneam;35.10894028;32.66453605;12
Joppa;34.75043306;32.05351972;12
Kabzeel;34.94206;31.29886;12
Kamon;35.68527;32.58655;12
Karkor;36.4288;31.3876;12
Kedemoth? 		;35.8566;31.534;12
Kedemoth? 		;35.8566;31.534;12
Kedesh;35.53361488;33.11298278;12
Kedosh 		;35.53361;33.1129;12
Kiriath-Jearim;34.99384062;31.77110585;12
Kiriathiam;35.69235;31.72052;12
Lachish;34.84680085;31.56484678;12
Laish (Dan) 		;35.6423;33.2241;12
Lakkum;35.53845;32.68447;12
Lebonah;35.24038;32.06847;12
Lehi;35.04836;31.75034;12
Libnah;34.84674247;31.56485745;12
Lowe-Beth-Horon;35.08016;31.90682;12
Madmannah;34.91271;31.36226;12
Madon;35.4595;32.7998;12
Makkedah;34.78135769;31.93512536;12
Mareshah;34.90238535;31.60392547;12
Medeba;35.79266;31.72772;12
Megiddo 		;35.1823;32.5841;12
Merom ;35.43612;32.98102;12
Michmash;35.28464;31.88395;12
Middin;35.4016126;31.74388251;12
Misrephoth-Maim;35.11322;33.08786;12
Mizpah;35.21918;31.88874;12
Moan;35.14342;31.42128;12
Mount-Baalah;34.78092;31.85096;12
Naamah;34.87184009;31.87178546;12
Nahalol;35.06527;32.80393;12
Name;;;12
Nibshan;35.39245391;31.46150669;12
Ophrah (ohpron);35.29929;31.95347;12
Penuel 		;35.7033;32.1841;12
Pirathon;35.17243;32.18943;12
Rabbah (Rabbath- ammo- Philadephia);35.922;31.9469;12
Ramathaim-Zophim;35.01969;32.03423;12
Ramoth-gilead 		;36.0041;32.5626;12
Rimmon;35.29579509;31.93291623;12
Rimmon;35.29579509;31.93291623;12
Secacah;35.28470629;31.7663751;12
Shaalbim;35.0041;31.88129;12
Shechem 		;35.2806;32.2116;12
Shikkeron;34.81832;31.83606;12
Shiloh;35.29227558;32.05541002;12
Shimron;35.2141913;32.70514455;12
Shittim;35.67818;31.85024;12
Shunem;35.333;32.5942;12
Sidon ;35.37046587;33.56116439;8
Socoh;35.05218;32.34377;12
Socoh;35.05179;32.34383;12
Socoh;34.9561;31.67839;12
Sorok;34.9536;31.79401;12
Succoth;35.6319397;32.19794935;12
Taanach;35.21220512;32.51579249;12
Tabbath;35.63063;32.33004;12
Tappuah;35.23676622;32.11695778;12
Thebez;35.36257;32.32822;12
Timnah 		;35.0158;31.6492;12
Tirzah;35.33825;32.29751;12
Tob;36.24078;32.56341;12
Tyre 	;35.20287468;33.27037423;12
Upper-Beth-Horon;35.1026;31.89671;12
Yiron;35.41387;33.07148;12
Zarethen;35.57396;32.14256;12
Zarethshahar;35.56546206;31.61783908;12
Zela;35.19549;31.79348;12
Zephon;35.58712;32.26558;12
Ziklag 		;34.6808;31.3962;12
Ziph;35.13535993;31.48242164;12
Ziph;35.00125;30.99383;12
Zorah;34.98852;31.77697;12